customer_id,first_name,last_name,email,country,signup_date,last_purchase_date,total_purchases,total_spend,average_order_value,customer_segment,churn_risk
1,David,Taylor,james59@example.net,UK,2023-03-03,2023-08-08,10,4150.94,127.26,new,0.51
2,Ray,James,wesley12@example.com,CA,2023-09-13,2023-09-28,48,1496.69,99.06,new,0.5
3,Tonya,Hatfield,patelrichard@example.org,IN,2023-10-20,2023-12-17,46,1602.92,37.55,new,0.11
4,Linda,Mitchell,summer25@example.org,US,2023-12-18,2023-12-23,37,2706.0,145.88,new,0.32
5,James,Thomas,amy87@example.com,AU,2023-05-02,2023-05-16,50,2529.18,171.99,loyal,0.8
6,Robert,Wheeler,brandon96@example.org,UK,2023-04-16,2023-12-17,12,3459.71,46.12,active,0.03
7,Susan,Barrett,joannrobbins@example.com,AU,2023-02-14,2023-04-22,15,4046.4,106.37,churned,0.02
8,Andre,Guzman,kleinjennifer@example.org,AU,2023-09-14,2023-11-21,48,543.18,73.19,loyal,0.85
9,Adam,Hayden,jacob56@example.org,AU,2023-01-31,2023-08-10,15,4375.48,91.28,loyal,0.11
10,Kelly,Maldonado,johnsonjulia@example.org,CA,2023-11-23,2023-12-05,29,2214.54,191.64,churned,0.6
11,Carla,Smith,gcrawford@example.net,CA,2023-02-28,2023-07-20,2,3920.67,154.57,churned,0.23
12,William,Brown,katieberry@example.net,UK,2023-10-11,2023-10-14,22,3347.39,190.84,loyal,0.87
13,Michele,Williams,charleneweber@example.net,CA,2023-11-25,2023-12-12,25,3820.8,59.4,new,0.33
14,Cassandra,Allen,lisamorgan@example.org,IN,2023-09-19,2023-10-25,40,435.4,147.62,churned,0.02
15,Robert,Benitez,sarahgonzalez@example.org,UK,2023-06-14,2023-10-23,42,832.54,101.38,churned,0.44
16,Courtney,Johnson,zgarcia@example.org,AU,2023-08-20,2023-10-31,3,1404.54,109.21,loyal,0.42
17,John,Snyder,oward@example.org,US,2023-06-23,2023-09-02,7,4478.35,99.24,new,0.29
18,Jesus,Watson,salasbrittney@example.com,US,2023-12-28,2023-12-28,26,1334.09,43.15,churned,0.54
19,Valerie,Gentry,kristen42@example.net,IN,2023-09-06,2023-11-23,9,3934.57,164.55,new,0.24
20,Brandon,Gonzalez,alyssaatkins@example.org,UK,2023-11-30,2023-12-09,20,4859.58,54.83,new,0.23
21,Melissa,Bryan,zflynn@example.org,US,2023-04-23,2023-10-08,10,3005.96,97.39,active,0.9
22,James,Lucas,wendy18@example.com,IN,2023-07-30,2023-09-21,19,1291.15,67.8,churned,0.96
23,Nicole,Jones,powellcarmen@example.net,AU,2023-07-29,2023-12-02,32,1358.03,76.99,active,0.34
24,Travis,Woods,dustinfigueroa@example.com,US,2023-07-07,2023-07-25,3,405.48,165.79,churned,0.2
